HardwareUID,HardwareVendorUID,HardwareVendorID,HardwareTypeDescription,HardwareCPUDescription,HardwareCPUCount,HardwareCPUCoreCount,HardwareCPUHT,HardwareCPUPerformance,HardwareRAMSize,HardwareHDDSize,HardwareHDDDescription,HardwareWeight,HardwareHeight,HardwareWidth,HardwarePower,HardwareNote,HardwareImageName
N'00000000-0000-0000-0000-000000000001',N'00000000-0000-0000-0000-000000000001',NULL,N'UNKNOWN',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N'05f8eddc-f4c1-48da-9565-9e8420928c98',N'4cc95d09-4748-459f-a7cc-2d247e8c7b96',NULL,N'Catalyst 3750',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,2,NULL,500,NULL,NULL
N'0638d1fc-9a34-4ff3-9dc1-c2911e120e0a',N'7f8e2b6b-d5c7-44f5-a842-0b6eef54148c',NULL,N'Altix XE250',N'xeon',NULL,4,NULL,NULL,NULL,NULL,N'SATA',NULL,2,100,NULL,N'SATA',NULL
N'082bcf5d-d9dc-4acc-9c74-ab01f3587d84',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'V20z',N'AMD Opteron 252 2.7GHz',2,2,NULL,NULL,4,73,N'SCSI',16,1,100,460,N'SCSI',NULL
N'08A44000-D55C-4be3-B38F-D8EF9D4D9691',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'P7674-60200',N'Server LP1000r',N'PIII 1,13 GHz',2,1,NULL,5,1,18,N'SCSI',11,1,100,204,N'SCSI',N'LP1000r'
N'0955b8af-db13-43d5-a385-5136f966d79c',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL145 G2',N'AMD Opteron
N'0ecfce19-ddea-4f5c-91b3-11cceb91f43d',N'46d2975a-d971-40f4-b7fc-f0b6b3e08ec6',NULL,N'unknown 1U',N'Intel 2.40GHz',1,4,NULL,NULL,4,200,N'SATA',NULL,1,100,201,N'SATA',NULL
N'18ba1a71-40e3-48cf-8fb2-069b8186155d',N'd90a75a3-ba41-4ad6-a4d7-3de6a8d7f388',NULL,N'PE1650',N'Pentium III',1,1,NULL,NULL,NULL,100,N'SCSI',17,1,NULL,500,N'SCSI',NULL
N'1e567354-4880-4027-8db6-6d31c8434dd5',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'505768-B21 ',N'DL320G6',N'Intel Xeon E5504',1,4,NULL,NULL,8,4000,N'SATA',NULL,1,100,400,N'SATA',NULL
N'2166a9b7-66b8-4b41-b8a7-c1c903468566',N'e855fc5d-37d5-401d-81a0-97cbb1a5c60c',NULL,N'SATABeast ',NULL,NULL,NULL,NULL,NULL,NULL,84,N'SATA',49,4,100,686,N'SATA',NULL
N'23400aff-b7fc-4cb1-ba5c-b944aa66ccba',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'Fire X4600',N'AMD Opteron 8356',8,4,NULL,NULL,256,292,N'SCSI',48,4,100,3000,N'SCSI',NULL
N'27c2452d-e9ac-414b-a83b-e9cfac225778',N'28e63cb0-08ff-4783-85a8-a4a11891f308',NULL,N'Primergy RX220',N'AMD 285 2.6GHz',2,4,NULL,NULL,7,500,N'SATA',14,1,100,500,N'SATA',NULL
N'31320177-e0f2-4e50-85ff-c241fd7e54ab',N'ecbd1f33-d186-41a8-b317-498e8fba8839',NULL,N'VTrak MP610p',NULL,NULL,NULL,NULL,NULL,NULL,16000,N'SATA',NULL,3,100,NULL,N'SATA',NULL
N'37d6d224-2233-483d-b2b6-0a061868b725',N'd90a75a3-ba41-4ad6-a4d7-3de6a8d7f388',NULL,N'PE2850',N'Xeon 3GHz',2,2,NULL,NULL,2,300,N'SCSI',20,2,NULL,700,N'SCSI',NULL
N'3D718188-9560-4e47-BA33-315E442C1876',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'P3539-60200',N'Server LP 4100TC',N'PIII 1,13 GHz',1,1,0,460,1,40,N'ATA',26,5,100,164,N'',N'LP4100tc'
N'3dc9023d-346b-4569-b6ae-d1ec28c7a093',N'00000000-0000-0000-0000-000000000001',NULL,N'patchpanel 1U',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,NULL,NULL,NULL
N'403459bb-76ae-4728-b046-ec75708789a5',N'b34a4817-3ed8-484d-864c-031720a37038',NULL,N'EasySTOR 1600RP',NULL,NULL,NULL,NULL,NULL,NULL,4800,NULL,23,3,100,201,NULL,NULL
N'42873359-a881-433a-8ab5-f223a5808958',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL360',N'Intel Xeon 2,4 GHz',1,4,1,64,6,133,N'SAS',NULL,1,100,161,N'SAS',NULL
N'4D094469-2BB4-44c5-9E63-5BFA53A97721',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'BL35p',N'AMD Opteron 280',2,2,NULL,30,8,72,N'SAS',10,3,12,150,N'SAS',N'bladep\bl35p'
N'4e7d8c44-41be-48d3-81cf-f97684680dc0',N'28e63cb0-08ff-4783-85a8-a4a11891f308',NULL,N'PRIMERGY RX300 S2',N'Intel Xeon',2,NULL,NULL,NULL,NULL,1800,N'SCSI',NULL,2,100,570,N'SCSI',NULL
N'4ede8191-e54d-4ec4-9ffe-658f2078fdf3',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'iDataPlex dx360 M2 2U',N'Intel Xeon E5520',2,4,1,118,32,450,N'2x SAS ',NULL,2,50,256,N'2x SAS ',NULL
N'52534e5f-bb65-4a34-ae5a-efb9bc43a76e',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL360 G5',N'Intel Xeon E5420',2,4,1,NULL,20,300,N'SAS',NULL,1,100,357,N'SAS',N'proliant\dl360g5'
