InterfaceUID,InterfaceParentInterfaceUID,InterfaceMachineUID,InterfaceIP,InterfaceMAC,InterfaceNetworkUID,InterfaceDNSName,InterfaceSwitchNumber,InterfaceSwitchPosition,InterfaceNote,InterfacePreffered
N'0022ec70-174c-40d1-ae2f-12ea7c29cb8b',N'                                    ',N'2bbb4e7e-d168-42ef-ac4e-2741fb06a782',N'147.231.25.18',N'00:30:6e:2c:7c:94',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias18',N'sw009',N'H9',NULL,NULL
N'00988793-9698-4595-8901-a3cc77c2e548',N'                                    ',N'77e152a1-190a-45d9-9c4d-b203dc7a56e6',N'147.231.25.154',N'00:1A:4B:D1:D7:74',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias154',N'swR052',N'4',NULL,NULL
N'00cf1833-6235-43a7-b68c-5bb6f5ec05fa',NULL,N'ae881066-12bb-4d9b-9e5d-fc3db3b64262',N'172.16.2.41',N'00:1F:C6:D9:4C:B0',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis41',N'swL101',N'41',NULL,NULL
N'0131e8e1-56e0-4f4c-8b03-3ffbf64aace0',NULL,N'37d38662-ba96-4ab1-b8df-90521c7bc84f',N'147.231.26.147',N'A4:BA:DB:E0:DD:6A',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'serv147.fzu.cz',NULL,NULL,NULL,NULL
N'014078aa-38ac-4bdc-9590-fc2e052b1157',NULL,N'c3b69e88-3c6a-4925-952e-deefd4e607b1',N'172.16.6.27',N'E4:1F:13:22:78:C6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis27',N'swL111',N'27',NULL,NULL
N'018cba10-1f68-4c44-830b-32de5bab9081',NULL,N'2226bafe-3451-4326-8cce-b37373182d81',N'172.16.1.9',N'00:30:48:C6:49:7C',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix09',N'swL051',N'9',NULL,NULL
N'01a1a616-fc73-4178-9c73-9ca0f287a6b4',N'                                    ',N'97e7ef26-47bd-451e-8414-697167be7cfc',N'147.231.25.15',N'00:30:6e:2c:69:66',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias15',N'sw009',N'H6',NULL,NULL
N'01b709d2-35f5-4c8f-9de7-d0005213e1b8',NULL,N'e466cd97-9a9b-4002-bad0-80ece05c9d69',N'172.16.2.72',N'00:23:54:21:73:6A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis72',N'swL102',N'30',NULL,NULL
N'01bfb488-fe7a-424e-9d0c-97370b37f36a',NULL,N'ac40dc02-665e-4080-9e79-6883ae71f553',N'147.231.25.37',N'00:40:63:F5:15:17',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'storage11',N'sw253',N'3/36',NULL,NULL
N'02a78b1a-4831-4931-aae3-d5328a1850bf',NULL,N'0748ad55-4221-4727-8ecf-81d9124c02a2',N'172.16.6.14',N'E4:1F:13:22:60:A2',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis14',N'swL111',N'14',NULL,NULL
N'02fd7c57-6c37-4a48-9bc0-f049216fd64d',NULL,N'a3fc5032-6c08-4e90-a384-2d0934fda16f',N'147.231.27.170',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'weber.fzu.cz',N'swL071',N'28',NULL,NULL
N'038447a6-f12d-4676-a323-a747668e9f3b',NULL,N'09accd81-f4a6-4728-b18d-dc497014b678',N'172.16.2.22',N'00:1F:C6:DA:16:92',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis22',N'swL101',N'22',NULL,NULL
N'0440b232-d897-4284-b116-1730b3089278',NULL,N'382866d4-9eb9-4c01-b8bf-0cd9a8a1ec73',N'172.16.6.15',N'E4:1F:13:22:6B:FA',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis15',N'swL111',N'15',NULL,NULL
N'045fd486-c538-46a0-ad06-9cb0a4e92aab',NULL,N'5b0180cc-9ef8-4289-9a5c-1ee1071a7e91',N'172.16.6.56',N'E4:1F:13:22:64:5C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis56',N'swL112',N'24',NULL,NULL
N'05191e5c-0c0b-4e16-94e1-175bde930043',N'                                    ',N'9df73ceb-2d67-4fc5-9bf3-b8daaabc85e8',N'147.231.25.161',N'00:19:BB:3E:7D:66',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias161',N'swR052',N'13',NULL,NULL
N'05b51420-fd06-45e8-8f4c-f285aa29976d',N'                                    ',N'7dc29445-f8ce-4a77-9f95-61407885cf16',N'147.231.25.169',N'00:23:7D:3B:D2:B4',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias169',N'swR051',N'15',NULL,NULL
N'0626be3f-8ab7-47ed-8562-32730d5f458b',NULL,N'88f8f1b9-7aaf-4777-bec8-a33e93805ec0',N'172.16.6.35',N'E4:1F:13:22:3A:62',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis35',N'swL112',N'3',NULL,NULL
N'0646be12-23ac-43b3-99c5-fc729e996d92',NULL,N'78b5083d-cbb0-41d7-af11-3faaed132edd',N'147.231.25.45',N'00:00:00:00:00:00',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'dpmpool7',N'swL013',N'0',NULL,NULL
N'064fe406-9983-4402-b5e0-2974d619d915',N'                                    ',N'd0b12a53-158f-4ee9-a8b6-737b27cb3956',N'172.16.4.35',N'00:0F:20:7A:18:4A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum35',N'swL041',N'29',NULL,NULL
N'07b9fba0-98f8-4c0f-986c-f625a0308eaa',NULL,N'ecbad80c-e88a-4d5e-8265-3f4c2ee06a81',N'172.16.6.3',N'E4:1F:13:22:54:FC',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis03',N'swL111',N'3',NULL,NULL
N'08c294d9-74dc-4aaa-80ae-33479f1862b4',NULL,N'baaf16d3-2d97-448f-93a1-bf916fc523bf',N'147.231.25.229',N'00:10:18:4a:37:f8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'backup',N'swR081',N'32',NULL,NULL
N'09826fb3-5eaa-4aad-9839-2f0e3826491d',N'                                    ',N'c686bd03-8c7e-4bb4-badd-35a6a0cd7121',N'172.16.4.8',N'00:0f:20:7a:e7:9e',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum08',N'swL041',N'3',NULL,NULL
N'09ded0cf-6559-494d-9c5c-1c49b8c63776',NULL,N'cc627850-040f-419b-83cb-06aebfa37f83',N'192.168.2.218',N'00:04:02:fc:56:82',N'12001c79-93a2-43c4-9833-59ec442f436c',N'satabeast3-2.monitor',N'swL031',N'16',NULL,NULL
N'0a4ceb4c-6ef3-4c2f-8d1c-151d2f36d459',N'                                    ',N'c150a962-1a56-4b9f-8cc1-6c7d57229282',N'147.231.25.117',N'00:18:71:E7:88:F5',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias117',N'swL082',N'1',NULL,NULL
